Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
03.01.2024/03:00;03.01.2024/02:00;SE1, SE2, SE3, SE4;-18430,077991;-12144,595799;-6285,482192;0
03.01.2024/04:00;03.01.2024/03:00;SE1, SE2, SE3, SE4;-18570,849104;-12220,039957;-6350,809147;0
03.01.2024/05:00;03.01.2024/04:00;SE1, SE2, SE3, SE4;-19149,223519;-12653,269056;-6495,954463;0
03.01.2024/06:00;03.01.2024/05:00;SE1, SE2, SE3, SE4;-20361,940906;-13627,051645;-6734,889261;0
03.01.2024/07:00;03.01.2024/06:00;SE1, SE2, SE3, SE4;-21409,953944;-14418,517452;-6991,436492;0
03.01.2024/08:00;03.01.2024/07:00;SE1, SE2, SE3, SE4;-21974,421278;-14788,208141;-7186,213137;0
03.01.2024/09:00;03.01.2024/08:00;SE1, SE2, SE3, SE4;-22145,432481;-14858,686157;-7286,746324;0
03.01.2024/10:00;03.01.2024/09:00;SE1, SE2, SE3, SE4;-22376,245009;-14968,645552;-7407,599457;0
03.01.2024/11:00;03.01.2024/10:00;SE1, SE2, SE3, SE4;-22481,693961;-14982,376269;-7499,317692;0
03.01.2024/12:00;03.01.2024/11:00;SE1, SE2, SE3, SE4;-22599,482815;-15027,440197;-7572,042618;0
03.01.2024/13:00;03.01.2024/12:00;SE1, SE2, SE3, SE4;-22563,598908;-15015,795878;-7547,80303;0
03.01.2024/14:00;03.01.2024/13:00;SE1, SE2, SE3, SE4;-22640,698302;-15042,62545;-7598,072852;0
03.01.2024/15:00;03.01.2024/14:00;SE1, SE2, SE3, SE4;-22940,721884;-15113,966233;-7826,755651;0
03.01.2024/16:00;03.01.2024/15:00;SE1, SE2, SE3, SE4;-23123,345666;-14923,679472;-8199,666194;0
03.01.2024/17:00;03.01.2024/16:00;SE1, SE2, SE3, SE4;-23214,336169;-14787,131136;-8427,205033;0
03.01.2024/18:00;03.01.2024/17:00;SE1, SE2, SE3, SE4;-22781,324552;-14418,86791;-8362,456642;0
03.01.2024/19:00;03.01.2024/18:00;SE1, SE2, SE3, SE4;-22342,995563;-14151,051256;-8191,944307;0
03.01.2024/20:00;03.01.2024/19:00;SE1, SE2, SE3, SE4;-21693,118114;-13757,345743;-7935,772371;0
03.01.2024/21:00;03.01.2024/20:00;SE1, SE2, SE3, SE4;-21013,527566;-13365,510575;-7648,016991;0
03.01.2024/22:00;03.01.2024/21:00;SE1, SE2, SE3, SE4;-20313,713499;-12991,003818;-7322,709681;0
03.01.2024/23:00;03.01.2024/22:00;SE1, SE2, SE3, SE4;-19735,939267;-12729,098106;-7006,841161;0
04.01.2024/00:00;03.01.2024/23:00;SE1, SE2, SE3, SE4;-19356,227103;-12577,618776;-6778,608327;0
