Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
01.03.2024/23:00;01.03.2024/22:00;SE1, SE2, SE3, SE4;-15059,073776;-10765,646874;-4293,426902;0
02.03.2024/00:00;01.03.2024/23:00;SE1, SE2, SE3, SE4;-14598,876812;-10521,00942;-4077,867392;0
02.03.2024/01:00;02.03.2024/00:00;SE1, SE2, SE3, SE4;-14325,697066;-10390,124841;-3935,572225;0
02.03.2024/02:00;02.03.2024/01:00;SE1, SE2, SE3, SE4;-14118,010375;-10262,888939;-3855,121436;0
02.03.2024/03:00;02.03.2024/02:00;SE1, SE2, SE3, SE4;-14016,53996;-10200,204252;-3816,335708;0
02.03.2024/04:00;02.03.2024/03:00;SE1, SE2, SE3, SE4;-13948,399755;-10130,34432;-3818,055435;0
02.03.2024/05:00;02.03.2024/04:00;SE1, SE2, SE3, SE4;-14038,613202;-10173,882817;-3864,730385;0
02.03.2024/06:00;02.03.2024/05:00;SE1, SE2, SE3, SE4;-14355,565724;-10410,549511;-3945,016213;0
02.03.2024/07:00;02.03.2024/06:00;SE1, SE2, SE3, SE4;-14632,655309;-10558,631143;-4074,024166;0
02.03.2024/08:00;02.03.2024/07:00;SE1, SE2, SE3, SE4;-15156,666417;-10765,528739;-4391,137678;0
02.03.2024/09:00;02.03.2024/08:00;SE1, SE2, SE3, SE4;-15770,982212;-11118,545044;-4652,437168;0
02.03.2024/10:00;02.03.2024/09:00;SE1, SE2, SE3, SE4;-16126,349032;-11346,786413;-4779,562619;0
02.03.2024/11:00;02.03.2024/10:00;SE1, SE2, SE3, SE4;-16299,427309;-11431,44664;-4867,980669;0
02.03.2024/12:00;02.03.2024/11:00;SE1, SE2, SE3, SE4;-16143,689601;-11263,163843;-4880,525758;0
02.03.2024/13:00;02.03.2024/12:00;SE1, SE2, SE3, SE4;-16095,524076;-11266,579622;-4828,944454;0
02.03.2024/14:00;02.03.2024/13:00;SE1, SE2, SE3, SE4;-16146,675164;-11350,90262;-4795,772544;0
02.03.2024/15:00;02.03.2024/14:00;SE1, SE2, SE3, SE4;-16283,417652;-11453,500691;-4829,916961;0
02.03.2024/16:00;02.03.2024/15:00;SE1, SE2, SE3, SE4;-16600,547957;-11598,621053;-5001,926904;0
02.03.2024/17:00;02.03.2024/16:00;SE1, SE2, SE3, SE4;-17147,503376;-11825,613688;-5321,889688;0
02.03.2024/18:00;02.03.2024/17:00;SE1, SE2, SE3, SE4;-17152,778489;-11715,165392;-5437,613097;0
02.03.2024/19:00;02.03.2024/18:00;SE1, SE2, SE3, SE4;-16632,330778;-11428,297325;-5204,033453;0
02.03.2024/20:00;02.03.2024/19:00;SE1, SE2, SE3, SE4;-16073,264016;-11183,248588;-4890,015428;0
02.03.2024/21:00;02.03.2024/20:00;SE1, SE2, SE3, SE4;-15430,403121;-10814,029316;-4616,373805;0
02.03.2024/22:00;02.03.2024/21:00;SE1, SE2, SE3, SE4;-14950,637644;-10529,991341;-4420,646303;0
02.03.2024/23:00;02.03.2024/22:00;SE1, SE2, SE3, SE4;-14530,584751;-10340,069395;-4190,515356;0
03.03.2024/00:00;02.03.2024/23:00;SE1, SE2, SE3, SE4;-14077,584841;-10089,958763;-3987,626078;0
03.03.2024/01:00;03.03.2024/00:00;SE1, SE2, SE3, SE4;-13836,003226;-9992,480921;-3843,522305;0
03.03.2024/02:00;03.03.2024/01:00;SE1, SE2, SE3, SE4;-13724,59933;-9931,063474;-3793,535856;0
03.03.2024/03:00;03.03.2024/02:00;SE1, SE2, SE3, SE4;-13591,563225;-9858,737755;-3732,82547;0
03.03.2024/04:00;03.03.2024/03:00;SE1, SE2, SE3, SE4;-13616,385064;-9882,589393;-3733,795671;0
03.03.2024/05:00;03.03.2024/04:00;SE1, SE2, SE3, SE4;-13715,032085;-9929,016144;-3786,015941;0
03.03.2024/06:00;03.03.2024/05:00;SE1, SE2, SE3, SE4;-13869,255578;-10022,639184;-3846,616394;0
03.03.2024/07:00;03.03.2024/06:00;SE1, SE2, SE3, SE4;-14175,06991;-10165,4074;-4009,66251;0
03.03.2024/08:00;03.03.2024/07:00;SE1, SE2, SE3, SE4;-14714,764657;-10427,673561;-4287,091096;0
03.03.2024/09:00;03.03.2024/08:00;SE1, SE2, SE3, SE4;-15094,057787;-10562,035792;-4532,021995;0
03.03.2024/10:00;03.03.2024/09:00;SE1, SE2, SE3, SE4;-15367,487702;-10709,976657;-4657,511045;0
03.03.2024/11:00;03.03.2024/10:00;SE1, SE2, SE3, SE4;-15400,160381;-10696,476862;-4703,683519;0
03.03.2024/12:00;03.03.2024/11:00;SE1, SE2, SE3, SE4;-15410,297121;-10687,755141;-4722,54198;0
03.03.2024/13:00;03.03.2024/12:00;SE1, SE2, SE3, SE4;-15329,722706;-10683,356494;-4646,366212;0
03.03.2024/14:00;03.03.2024/13:00;SE1, SE2, SE3, SE4;-15254,495138;-10660,868273;-4593,626865;0
03.03.2024/15:00;03.03.2024/14:00;SE1, SE2, SE3, SE4;-15479,693317;-10854,947348;-4624,745969;0
03.03.2024/16:00;03.03.2024/15:00;SE1, SE2, SE3, SE4;-16194,61793;-11311,961966;-4882,655964;0
03.03.2024/17:00;03.03.2024/16:00;SE1, SE2, SE3, SE4;-16979,788353;-11684,297521;-5295,490832;0
03.03.2024/18:00;03.03.2024/17:00;SE1, SE2, SE3, SE4;-17462,847184;-11881,232999;-5581,614185;0
03.03.2024/19:00;03.03.2024/18:00;SE1, SE2, SE3, SE4;-17207,626987;-11741,063389;-5466,563598;0
03.03.2024/20:00;03.03.2024/19:00;SE1, SE2, SE3, SE4;-16855,296609;-11624,927482;-5230,369127;0
03.03.2024/21:00;03.03.2024/20:00;SE1, SE2, SE3, SE4;-16257,606086;-11321,37154;-4936,234546;0
03.03.2024/22:00;03.03.2024/21:00;SE1, SE2, SE3, SE4;-15790,804249;-11160,474478;-4630,329771;0
03.03.2024/23:00;03.03.2024/22:00;SE1, SE2, SE3, SE4;-15352,793912;-11023,939962;-4328,85395;0
04.03.2024/00:00;03.03.2024/23:00;SE1, SE2, SE3, SE4;-14944,272492;-10797,416399;-4146,856093;0
04.03.2024/01:00;04.03.2024/00:00;SE1, SE2, SE3, SE4;-14738,347791;-10676,421295;-4061,926496;0
04.03.2024/02:00;04.03.2024/01:00;SE1, SE2, SE3, SE4;-14731,054053;-10682,273933;-4048,78012;0
04.03.2024/03:00;04.03.2024/02:00;SE1, SE2, SE3, SE4;-14716,771513;-10646,725828;-4070,045685;0
04.03.2024/04:00;04.03.2024/03:00;SE1, SE2, SE3, SE4;-15077,774738;-10932,770305;-4145,004433;0
04.03.2024/05:00;04.03.2024/04:00;SE1, SE2, SE3, SE4;-15867,593685;-11547,000369;-4320,593316;0
04.03.2024/06:00;04.03.2024/05:00;SE1, SE2, SE3, SE4;-17469,181512;-12864,731102;-4604,45041;0
04.03.2024/07:00;04.03.2024/06:00;SE1, SE2, SE3, SE4;-18526,020487;-13729,412203;-4796,608284;0
04.03.2024/08:00;04.03.2024/07:00;SE1, SE2, SE3, SE4;-18599,240306;-13775,98684;-4823,253466;0
04.03.2024/09:00;04.03.2024/08:00;SE1, SE2, SE3, SE4;-18437,213852;-13680,147615;-4757,066237;0
04.03.2024/10:00;04.03.2024/09:00;SE1, SE2, SE3, SE4;-18014,168575;-13376,323438;-4637,845137;0
04.03.2024/11:00;04.03.2024/10:00;SE1, SE2, SE3, SE4;-17752,655999;-13209,870491;-4542,785508;0
04.03.2024/12:00;04.03.2024/11:00;SE1, SE2, SE3, SE4;-17415,220932;-12970,989341;-4444,231591;0
04.03.2024/13:00;04.03.2024/12:00;SE1, SE2, SE3, SE4;-17117,567027;-12811,847953;-4305,719074;0
04.03.2024/14:00;04.03.2024/13:00;SE1, SE2, SE3, SE4;-17187,362767;-12928,732228;-4258,630539;0
04.03.2024/15:00;04.03.2024/14:00;SE1, SE2, SE3, SE4;-17335,555379;-12981,443349;-4354,11203;0
04.03.2024/16:00;04.03.2024/15:00;SE1, SE2, SE3, SE4;-17657,860847;-12948,064633;-4709,796214;0
04.03.2024/17:00;04.03.2024/16:00;SE1, SE2, SE3, SE4;-18505,768952;-13205,794034;-5299,974918;0
04.03.2024/18:00;04.03.2024/17:00;SE1, SE2, SE3, SE4;-18962,902072;-13295,328321;-5667,573751;0
04.03.2024/19:00;04.03.2024/18:00;SE1, SE2, SE3, SE4;-18774,672966;-13164,774066;-5609,8989;0
04.03.2024/20:00;04.03.2024/19:00;SE1, SE2, SE3, SE4;-18224,823956;-12803,017929;-5421,806027;0
04.03.2024/21:00;04.03.2024/20:00;SE1, SE2, SE3, SE4;-17617,635942;-12435,06142;-5182,574522;0
04.03.2024/22:00;04.03.2024/21:00;SE1, SE2, SE3, SE4;-16948,537483;-12076,316877;-4872,220606;0
04.03.2024/23:00;04.03.2024/22:00;SE1, SE2, SE3, SE4;-16188,43354;-11632,200152;-4556,233388;0
05.03.2024/00:00;04.03.2024/23:00;SE1, SE2, SE3, SE4;-15775,580751;-11382,831306;-4392,749445;0
05.03.2024/01:00;05.03.2024/00:00;SE1, SE2, SE3, SE4;-15417,908663;-11120,991729;-4296,916934;0
05.03.2024/02:00;05.03.2024/01:00;SE1, SE2, SE3, SE4;-15258,533658;-10981,976612;-4276,557046;0
05.03.2024/03:00;05.03.2024/02:00;SE1, SE2, SE3, SE4;-15209,719384;-10930,135259;-4279,584125;0
05.03.2024/04:00;05.03.2024/03:00;SE1, SE2, SE3, SE4;-15410,973854;-11066,860325;-4344,113529;0
05.03.2024/05:00;05.03.2024/04:00;SE1, SE2, SE3, SE4;-16048,826837;-11516,878259;-4531,948578;0
05.03.2024/06:00;05.03.2024/05:00;SE1, SE2, SE3, SE4;-17653,782659;-12844,690403;-4809,092256;0
05.03.2024/07:00;05.03.2024/06:00;SE1, SE2, SE3, SE4;-18740,522389;-13752,541422;-4987,980967;0
05.03.2024/08:00;05.03.2024/07:00;SE1, SE2, SE3, SE4;-18932,163605;-13919,384204;-5012,779401;0
05.03.2024/09:00;05.03.2024/08:00;SE1, SE2, SE3, SE4;-18845,420861;-13878,130114;-4967,290747;0
05.03.2024/10:00;05.03.2024/09:00;SE1, SE2, SE3, SE4;-18627,815206;-13711,717429;-4916,097777;0
05.03.2024/11:00;05.03.2024/10:00;SE1, SE2, SE3, SE4;-18530,189383;-13646,504019;-4883,685364;0
05.03.2024/12:00;05.03.2024/11:00;SE1, SE2, SE3, SE4;-18374,311879;-13527,8435;-4846,468379;0
05.03.2024/13:00;05.03.2024/12:00;SE1, SE2, SE3, SE4;-18188,923436;-13437,368362;-4751,555074;0
05.03.2024/14:00;05.03.2024/13:00;SE1, SE2, SE3, SE4;-18088,9009;-13349,613506;-4739,287394;0
05.03.2024/15:00;05.03.2024/14:00;SE1, SE2, SE3, SE4;-18262,738285;-13428,34045;-4834,397835;0
05.03.2024/16:00;05.03.2024/15:00;SE1, SE2, SE3, SE4;-18480,902543;-13316,424371;-5164,478172;0
05.03.2024/17:00;05.03.2024/16:00;SE1, SE2, SE3, SE4;-19191,32139;-13496,636831;-5694,684559;0
05.03.2024/18:00;05.03.2024/17:00;SE1, SE2, SE3, SE4;-19497,147467;-13506,989455;-5990,158012;0
05.03.2024/19:00;05.03.2024/18:00;SE1, SE2, SE3, SE4;-19110,208667;-13208,018197;-5902,19047;0
05.03.2024/20:00;05.03.2024/19:00;SE1, SE2, SE3, SE4;-18746,872338;-13040,886165;-5705,986173;0
05.03.2024/21:00;05.03.2024/20:00;SE1, SE2, SE3, SE4;-18116,806216;-12655,214962;-5461,591254;0
05.03.2024/22:00;05.03.2024/21:00;SE1, SE2, SE3, SE4;-17261,256555;-12125,731451;-5135,525104;0
05.03.2024/23:00;05.03.2024/22:00;SE1, SE2, SE3, SE4;-16496,035505;-11702,631904;-4793,403601;0
06.03.2024/00:00;05.03.2024/23:00;SE1, SE2, SE3, SE4;-15813,783171;-11223,611063;-4590,172108;0
06.03.2024/01:00;06.03.2024/00:00;SE1, SE2, SE3, SE4;-15519,398253;-11049,013441;-4470,384812;0
06.03.2024/02:00;06.03.2024/01:00;SE1, SE2, SE3, SE4;-15458,599508;-11020,910853;-4437,688655;0
06.03.2024/03:00;06.03.2024/02:00;SE1, SE2, SE3, SE4;-15392,915933;-10951,897758;-4441,018175;0
06.03.2024/04:00;06.03.2024/03:00;SE1, SE2, SE3, SE4;-15585,168791;-11098,280737;-4486,888054;0
06.03.2024/05:00;06.03.2024/04:00;SE1, SE2, SE3, SE4;-16378,67313;-11713,620023;-4665,053107;0
06.03.2024/06:00;06.03.2024/05:00;SE1, SE2, SE3, SE4;-17959,709702;-13020,364762;-4939,34494;0
06.03.2024/07:00;06.03.2024/06:00;SE1, SE2, SE3, SE4;-19170,585255;-14053,67489;-5116,910365;0
06.03.2024/08:00;06.03.2024/07:00;SE1, SE2, SE3, SE4;-19311,263775;-14180,58569;-5130,678085;0
06.03.2024/09:00;06.03.2024/08:00;SE1, SE2, SE3, SE4;-19027,681583;-13943,1378;-5084,543783;0
06.03.2024/10:00;06.03.2024/09:00;SE1, SE2, SE3, SE4;-18728,919311;-13764,738244;-4964,181067;0
06.03.2024/11:00;06.03.2024/10:00;SE1, SE2, SE3, SE4;-18400,553834;-13559,895923;-4840,657911;0
06.03.2024/12:00;06.03.2024/11:00;SE1, SE2, SE3, SE4;-18126,433316;-13422,491943;-4703,941373;0
06.03.2024/13:00;06.03.2024/12:00;SE1, SE2, SE3, SE4;-17737,964856;-13214,361914;-4523,602942;0
06.03.2024/14:00;06.03.2024/13:00;SE1, SE2, SE3, SE4;-17642,117023;-13216,85341;-4425,263613;0
06.03.2024/15:00;06.03.2024/14:00;SE1, SE2, SE3, SE4;-17667,364068;-13170,435359;-4496,928709;0
06.03.2024/16:00;06.03.2024/15:00;SE1, SE2, SE3, SE4;-17864,161327;-13042,877148;-4821,284179;0
06.03.2024/17:00;06.03.2024/16:00;SE1, SE2, SE3, SE4;-18779,505468;-13353,934714;-5425,570754;0
06.03.2024/18:00;06.03.2024/17:00;SE1, SE2, SE3, SE4;-19319,098422;-13441,771111;-5877,327311;0
06.03.2024/19:00;06.03.2024/18:00;SE1, SE2, SE3, SE4;-19069,954053;-13174,75768;-5895,196373;0
06.03.2024/20:00;06.03.2024/19:00;SE1, SE2, SE3, SE4;-18559,64579;-12793,419786;-5766,226004;0
06.03.2024/21:00;06.03.2024/20:00;SE1, SE2, SE3, SE4;-18247,481874;-12676,255713;-5571,226161;0
06.03.2024/22:00;06.03.2024/21:00;SE1, SE2, SE3, SE4;-17614,474219;-12307,395068;-5307,079151;0
06.03.2024/23:00;06.03.2024/22:00;SE1, SE2, SE3, SE4;-16996,357779;-11962,12825;-5034,229529;0
07.03.2024/00:00;06.03.2024/23:00;SE1, SE2, SE3, SE4;-16632,222443;-11744,057034;-4888,165409;0
07.03.2024/01:00;07.03.2024/00:00;SE1, SE2, SE3, SE4;-16636,720262;-11816,623233;-4820,097029;0
07.03.2024/02:00;07.03.2024/01:00;SE1, SE2, SE3, SE4;-16531,972056;-11694,971666;-4837,00039;0
07.03.2024/03:00;07.03.2024/02:00;SE1, SE2, SE3, SE4;-16633,490628;-11744,287504;-4889,203124;0
07.03.2024/04:00;07.03.2024/03:00;SE1, SE2, SE3, SE4;-16826,054384;-11839,826533;-4986,227851;0
07.03.2024/05:00;07.03.2024/04:00;SE1, SE2, SE3, SE4;-17583,030548;-12380,065497;-5202,965051;0
07.03.2024/06:00;07.03.2024/05:00;SE1, SE2, SE3, SE4;-19050,325471;-13547,477092;-5502,848379;0
07.03.2024/07:00;07.03.2024/06:00;SE1, SE2, SE3, SE4;-19982,325002;-14327,546532;-5654,77847;0
07.03.2024/08:00;07.03.2024/07:00;SE1, SE2, SE3, SE4;-19641,906395;-14166,7111;-5475,195295;0
07.03.2024/09:00;07.03.2024/08:00;SE1, SE2, SE3, SE4;-18990,934712;-13821,596199;-5169,338513;0
07.03.2024/10:00;07.03.2024/09:00;SE1, SE2, SE3, SE4;-18318,098107;-13467,179421;-4850,918686;0
07.03.2024/11:00;07.03.2024/10:00;SE1, SE2, SE3, SE4;-17664,052461;-13077,943741;-4586,10872;0
07.03.2024/12:00;07.03.2024/11:00;SE1, SE2, SE3, SE4;-17299,524191;-12933,712078;-4365,812113;0
07.03.2024/13:00;07.03.2024/12:00;SE1, SE2, SE3, SE4;-16993,650642;-12836,807489;-4156,843153;0
07.03.2024/14:00;07.03.2024/13:00;SE1, SE2, SE3, SE4;-16772,122027;-12729,791524;-4042,330503;0
07.03.2024/15:00;07.03.2024/14:00;SE1, SE2, SE3, SE4;-16850,359998;-12749,380634;-4100,979364;0
07.03.2024/16:00;07.03.2024/15:00;SE1, SE2, SE3, SE4;-17124,152164;-12696,40196;-4427,750204;0
07.03.2024/17:00;07.03.2024/16:00;SE1, SE2, SE3, SE4;-18142,881787;-13102,390473;-5040,491314;0
07.03.2024/18:00;07.03.2024/17:00;SE1, SE2, SE3, SE4;-18972,17136;-13391,094001;-5581,077359;0
07.03.2024/19:00;07.03.2024/18:00;SE1, SE2, SE3, SE4;-18895,357659;-13248,925988;-5646,431671;0
07.03.2024/20:00;07.03.2024/19:00;SE1, SE2, SE3, SE4;-18541,118973;-13000,908794;-5540,210179;0
07.03.2024/21:00;07.03.2024/20:00;SE1, SE2, SE3, SE4;-18043,228462;-12663,921283;-5379,307179;0
07.03.2024/22:00;07.03.2024/21:00;SE1, SE2, SE3, SE4;-17502,184138;-12363,882113;-5138,302025;0
07.03.2024/23:00;07.03.2024/22:00;SE1, SE2, SE3, SE4;-16724,930029;-11840,689174;-4884,240855;0
08.03.2024/00:00;07.03.2024/23:00;SE1, SE2, SE3, SE4;-16412,245895;-11674,86465;-4737,381245;0
08.03.2024/01:00;08.03.2024/00:00;SE1, SE2, SE3, SE4;-16197,53483;-11510,399757;-4687,135073;0
08.03.2024/02:00;08.03.2024/01:00;SE1, SE2, SE3, SE4;-16150,976958;-11451,358581;-4699,618377;0
08.03.2024/03:00;08.03.2024/02:00;SE1, SE2, SE3, SE4;-16252,445038;-11491,390353;-4761,054685;0
08.03.2024/04:00;08.03.2024/03:00;SE1, SE2, SE3, SE4;-16535,531145;-11666,014659;-4869,516486;0
08.03.2024/05:00;08.03.2024/04:00;SE1, SE2, SE3, SE4;-17285,210034;-12203,411164;-5081,79887;0
08.03.2024/06:00;08.03.2024/05:00;SE1, SE2, SE3, SE4;-18693,50413;-13320,194573;-5373,309557;0
08.03.2024/07:00;08.03.2024/06:00;SE1, SE2, SE3, SE4;-19561,66417;-14029,181915;-5532,482255;0
08.03.2024/08:00;08.03.2024/07:00;SE1, SE2, SE3, SE4;-19121,906796;-13790,935863;-5330,970933;0
08.03.2024/09:00;08.03.2024/08:00;SE1, SE2, SE3, SE4;-18471,370323;-13423,723829;-5047,646494;0
08.03.2024/10:00;08.03.2024/09:00;SE1, SE2, SE3, SE4;-17782,944111;-13006,835166;-4776,108945;0
08.03.2024/11:00;08.03.2024/10:00;SE1, SE2, SE3, SE4;-17257,909687;-12698,209549;-4559,700138;0
08.03.2024/12:00;08.03.2024/11:00;SE1, SE2, SE3, SE4;-16813,565417;-12409,163301;-4404,402116;0
08.03.2024/13:00;08.03.2024/12:00;SE1, SE2, SE3, SE4;-16306,520633;-12044,708806;-4261,811827;0
08.03.2024/14:00;08.03.2024/13:00;SE1, SE2, SE3, SE4;-16171,036293;-11940,527973;-4230,50832;0
08.03.2024/15:00;08.03.2024/14:00;SE1, SE2, SE3, SE4;-16134,71028;-11821,782558;-4312,927722;0
08.03.2024/16:00;08.03.2024/15:00;SE1, SE2, SE3, SE4;-16563,251003;-11933,243801;-4630,007202;0
08.03.2024/17:00;08.03.2024/16:00;SE1, SE2, SE3, SE4;-17628,127723;-12429,499185;-5198,628538;0
08.03.2024/18:00;08.03.2024/17:00;SE1, SE2, SE3, SE4;-18279,637576;-12648,427711;-5631,209865;0
08.03.2024/19:00;08.03.2024/18:00;SE1, SE2, SE3, SE4;-17878,06987;-12316,486619;-5561,583251;0
08.03.2024/20:00;08.03.2024/19:00;SE1, SE2, SE3, SE4;-17328,685626;-11986,422789;-5342,262837;0
08.03.2024/21:00;08.03.2024/20:00;SE1, SE2, SE3, SE4;-16715,597901;-11590,195906;-5125,401995;0
08.03.2024/22:00;08.03.2024/21:00;SE1, SE2, SE3, SE4;-16190,523854;-11255,602663;-4934,921191;0
08.03.2024/23:00;08.03.2024/22:00;SE1, SE2, SE3, SE4;-15683,817428;-10964,65203;-4719,165398;0
09.03.2024/00:00;08.03.2024/23:00;SE1, SE2, SE3, SE4;-15270,887164;-10715,746806;-4555,140358;0
09.03.2024/01:00;09.03.2024/00:00;SE1, SE2, SE3, SE4;-15067,271026;-10619,067722;-4448,203304;0
09.03.2024/02:00;09.03.2024/01:00;SE1, SE2, SE3, SE4;-14970,908117;-10566,094333;-4404,813784;0
09.03.2024/03:00;09.03.2024/02:00;SE1, SE2, SE3, SE4;-14886,384676;-10482,85306;-4403,531616;0
09.03.2024/04:00;09.03.2024/03:00;SE1, SE2, SE3, SE4;-14970,94369;-10533,79831;-4437,14538;0
09.03.2024/05:00;09.03.2024/04:00;SE1, SE2, SE3, SE4;-15187,218348;-10673,65331;-4513,565038;0
09.03.2024/06:00;09.03.2024/05:00;SE1, SE2, SE3, SE4;-15448,86133;-10861,665727;-4587,195603;0
09.03.2024/07:00;09.03.2024/06:00;SE1, SE2, SE3, SE4;-15856,613996;-11065,235301;-4791,378695;0
09.03.2024/08:00;09.03.2024/07:00;SE1, SE2, SE3, SE4;-16400,89692;-11278,623312;-5122,273608;0
09.03.2024/09:00;09.03.2024/08:00;SE1, SE2, SE3, SE4;-16832,699495;-11496,864119;-5335,835376;0
09.03.2024/10:00;09.03.2024/09:00;SE1, SE2, SE3, SE4;-16989,65285;-11578,93346;-5410,71939;0
09.03.2024/11:00;09.03.2024/10:00;SE1, SE2, SE3, SE4;-16926,999191;-11523,762996;-5403,236195;0
09.03.2024/12:00;09.03.2024/11:00;SE1, SE2, SE3, SE4;-16744,706652;-11422,483657;-5322,222995;0
09.03.2024/13:00;09.03.2024/12:00;SE1, SE2, SE3, SE4;-16608,216501;-11371,653347;-5236,563154;0
09.03.2024/14:00;09.03.2024/13:00;SE1, SE2, SE3, SE4;-16482,768599;-11311,729966;-5171,038633;0
09.03.2024/15:00;09.03.2024/14:00;SE1, SE2, SE3, SE4;-16621,502337;-11390,459124;-5231,043213;0
09.03.2024/16:00;09.03.2024/15:00;SE1, SE2, SE3, SE4;-17073,823488;-11625,861127;-5447,962361;0
09.03.2024/17:00;09.03.2024/16:00;SE1, SE2, SE3, SE4;-17812,287727;-12007,03744;-5805,250287;0
09.03.2024/18:00;09.03.2024/17:00;SE1, SE2, SE3, SE4;-18316,717248;-12221,477166;-6095,240082;0
09.03.2024/19:00;09.03.2024/18:00;SE1, SE2, SE3, SE4;-17955,83991;-12011,531551;-5944,308359;0
09.03.2024/20:00;09.03.2024/19:00;SE1, SE2, SE3, SE4;-17377,348129;-11737,228283;-5640,119846;0
09.03.2024/21:00;09.03.2024/20:00;SE1, SE2, SE3, SE4;-16711,049834;-11330,259739;-5380,790095;0
09.03.2024/22:00;09.03.2024/21:00;SE1, SE2, SE3, SE4;-16360,720333;-11126,134347;-5234,585986;0
09.03.2024/23:00;09.03.2024/22:00;SE1, SE2, SE3, SE4;-15961,822403;-10928,224002;-5033,598401;0
10.03.2024/00:00;09.03.2024/23:00;SE1, SE2, SE3, SE4;-15527,475124;-10683,617534;-4843,85759;0
10.03.2024/01:00;10.03.2024/00:00;SE1, SE2, SE3, SE4;-15241,558147;-10536,748161;-4704,809986;0
10.03.2024/02:00;10.03.2024/01:00;SE1, SE2, SE3, SE4;-15169,953603;-10506,746226;-4663,207377;0
10.03.2024/03:00;10.03.2024/02:00;SE1, SE2, SE3, SE4;-15075,275195;-10449,745534;-4625,529661;0
10.03.2024/04:00;10.03.2024/03:00;SE1, SE2, SE3, SE4;-15182,295359;-10539,440294;-4642,855065;0
10.03.2024/05:00;10.03.2024/04:00;SE1, SE2, SE3, SE4;-15323,288741;-10622,147283;-4701,141458;0
10.03.2024/06:00;10.03.2024/05:00;SE1, SE2, SE3, SE4;-15459,425452;-10735,663468;-4723,761984;0
10.03.2024/07:00;10.03.2024/06:00;SE1, SE2, SE3, SE4;-15738,50024;-10855,557731;-4882,942509;0
10.03.2024/08:00;10.03.2024/07:00;SE1, SE2, SE3, SE4;-16317,044222;-11122,829016;-5194,215206;0
10.03.2024/09:00;10.03.2024/08:00;SE1, SE2, SE3, SE4;-16772,150328;-11342,179269;-5429,971059;0
10.03.2024/10:00;10.03.2024/09:00;SE1, SE2, SE3, SE4;-16946,51879;-11438,990897;-5507,527893;0
10.03.2024/11:00;10.03.2024/10:00;SE1, SE2, SE3, SE4;-17020,534337;-11490,666459;-5529,867878;0
10.03.2024/12:00;10.03.2024/11:00;SE1, SE2, SE3, SE4;-17056,036376;-11562,952764;-5493,083612;0
10.03.2024/13:00;10.03.2024/12:00;SE1, SE2, SE3, SE4;-17024,658161;-11596,667234;-5427,990927;0
10.03.2024/14:00;10.03.2024/13:00;SE1, SE2, SE3, SE4;-16871,434631;-11526,00171;-5345,432921;0
10.03.2024/15:00;10.03.2024/14:00;SE1, SE2, SE3, SE4;-16944,743845;-11572,052167;-5372,691678;0
10.03.2024/16:00;10.03.2024/15:00;SE1, SE2, SE3, SE4;-17333,027158;-11741,772901;-5591,254257;0
10.03.2024/17:00;10.03.2024/16:00;SE1, SE2, SE3, SE4;-18159,264338;-12202,341263;-5956,923075;0
10.03.2024/18:00;10.03.2024/17:00;SE1, SE2, SE3, SE4;-18746,64417;-12456,746293;-6289,897877;0
10.03.2024/19:00;10.03.2024/18:00;SE1, SE2, SE3, SE4;-18522,949378;-12330,883444;-6192,065934;0
10.03.2024/20:00;10.03.2024/19:00;SE1, SE2, SE3, SE4;-18007,918479;-12080,63144;-5927,287039;0
10.03.2024/21:00;10.03.2024/20:00;SE1, SE2, SE3, SE4;-17394,420483;-11775,233956;-5619,186527;0
10.03.2024/22:00;10.03.2024/21:00;SE1, SE2, SE3, SE4;-16770,807866;-11498,997557;-5271,810309;0
10.03.2024/23:00;10.03.2024/22:00;SE1, SE2, SE3, SE4;-16133,215681;-11184,471423;-4948,744258;0
11.03.2024/00:00;10.03.2024/23:00;SE1, SE2, SE3, SE4;-15781,402979;-11000,086276;-4781,316703;0
11.03.2024/01:00;11.03.2024/00:00;SE1, SE2, SE3, SE4;-15686,77049;-10999,75343;-4687,01706;0
11.03.2024/02:00;11.03.2024/01:00;SE1, SE2, SE3, SE4;-15715,913384;-11044,208664;-4671,70472;0
11.03.2024/03:00;11.03.2024/02:00;SE1, SE2, SE3, SE4;-15730,501799;-11029,00533;-4701,496469;0
11.03.2024/04:00;11.03.2024/03:00;SE1, SE2, SE3, SE4;-15971,725184;-11203,823175;-4767,902009;0
11.03.2024/05:00;11.03.2024/04:00;SE1, SE2, SE3, SE4;-16648,95287;-11693,220561;-4955,732309;0
11.03.2024/06:00;11.03.2024/05:00;SE1, SE2, SE3, SE4;-18171,951091;-12960,583507;-5211,367584;0
11.03.2024/07:00;11.03.2024/06:00;SE1, SE2, SE3, SE4;-19158,973881;-13800,384912;-5358,588969;0
11.03.2024/08:00;11.03.2024/07:00;SE1, SE2, SE3, SE4;-19027,699061;-13809,125396;-5218,573665;0
11.03.2024/09:00;11.03.2024/08:00;SE1, SE2, SE3, SE4;-18585,32727;-13591,900188;-4993,427082;0
11.03.2024/10:00;11.03.2024/09:00;SE1, SE2, SE3, SE4;-18200,230364;-13424,692088;-4775,538276;0
