Date/Time SNT;MBA;Load Profile [MWh]
05.01.2024/00:00;SE1, SE2, SE3, SE4;-7619,329
05.01.2024/01:00;SE1, SE2, SE3, SE4;-7534,348
05.01.2024/02:00;SE1, SE2, SE3, SE4;-7506,329
05.01.2024/03:00;SE1, SE2, SE3, SE4;-7551,502
05.01.2024/04:00;SE1, SE2, SE3, SE4;-7641,24
05.01.2024/05:00;SE1, SE2, SE3, SE4;-7793,689
05.01.2024/06:00;SE1, SE2, SE3, SE4;-8036,817
05.01.2024/07:00;SE1, SE2, SE3, SE4;-8289,191
05.01.2024/08:00;SE1, SE2, SE3, SE4;-8527,7
05.01.2024/09:00;SE1, SE2, SE3, SE4;-8649,626
05.01.2024/10:00;SE1, SE2, SE3, SE4;-8675,396
05.01.2024/11:00;SE1, SE2, SE3, SE4;-8596,537
05.01.2024/12:00;SE1, SE2, SE3, SE4;-8462,104
05.01.2024/13:00;SE1, SE2, SE3, SE4;-8364,958
05.01.2024/14:00;SE1, SE2, SE3, SE4;-8410,492
05.01.2024/15:00;SE1, SE2, SE3, SE4;-8724,006
05.01.2024/16:00;SE1, SE2, SE3, SE4;-9197,562
05.01.2024/17:00;SE1, SE2, SE3, SE4;-9467,039
05.01.2024/18:00;SE1, SE2, SE3, SE4;-9436,885
05.01.2024/19:00;SE1, SE2, SE3, SE4;-9205,279
05.01.2024/20:00;SE1, SE2, SE3, SE4;-8924,555
05.01.2024/21:00;SE1, SE2, SE3, SE4;-8701,689
05.01.2024/22:00;SE1, SE2, SE3, SE4;-8487,133
05.01.2024/23:00;SE1, SE2, SE3, SE4;-8262,807
06.01.2024/00:00;SE1, SE2, SE3, SE4;-8078,705
06.01.2024/01:00;SE1, SE2, SE3, SE4;-7963,868
06.01.2024/02:00;SE1, SE2, SE3, SE4;-7936,023
06.01.2024/03:00;SE1, SE2, SE3, SE4;-7938,248
06.01.2024/04:00;SE1, SE2, SE3, SE4;-7973,067
06.01.2024/05:00;SE1, SE2, SE3, SE4;-8037,817
06.01.2024/06:00;SE1, SE2, SE3, SE4;-8201,202
06.01.2024/07:00;SE1, SE2, SE3, SE4;-8390,082
06.01.2024/08:00;SE1, SE2, SE3, SE4;-8610,411
06.01.2024/09:00;SE1, SE2, SE3, SE4;-8824,301
06.01.2024/10:00;SE1, SE2, SE3, SE4;-8908,317
06.01.2024/11:00;SE1, SE2, SE3, SE4;-8870,688
06.01.2024/12:00;SE1, SE2, SE3, SE4;-8726,629
06.01.2024/13:00;SE1, SE2, SE3, SE4;-8618,001
06.01.2024/14:00;SE1, SE2, SE3, SE4;-8601,134
06.01.2024/15:00;SE1, SE2, SE3, SE4;-8809,203
06.01.2024/16:00;SE1, SE2, SE3, SE4;-9212,434
06.01.2024/17:00;SE1, SE2, SE3, SE4;-9411,087
06.01.2024/18:00;SE1, SE2, SE3, SE4;-9358,04
06.01.2024/19:00;SE1, SE2, SE3, SE4;-9125,61
06.01.2024/20:00;SE1, SE2, SE3, SE4;-8877,994
06.01.2024/21:00;SE1, SE2, SE3, SE4;-8676,808
06.01.2024/22:00;SE1, SE2, SE3, SE4;-8434,44
06.01.2024/23:00;SE1, SE2, SE3, SE4;-8190,216
07.01.2024/00:00;SE1, SE2, SE3, SE4;-7981,323
07.01.2024/01:00;SE1, SE2, SE3, SE4;-7854,41
07.01.2024/02:00;SE1, SE2, SE3, SE4;-7777,553
07.01.2024/03:00;SE1, SE2, SE3, SE4;-7737,501
07.01.2024/04:00;SE1, SE2, SE3, SE4;-7755,871
07.01.2024/05:00;SE1, SE2, SE3, SE4;-7798,958
07.01.2024/06:00;SE1, SE2, SE3, SE4;-7890,392
07.01.2024/07:00;SE1, SE2, SE3, SE4;-8065,698
07.01.2024/08:00;SE1, SE2, SE3, SE4;-8270,8
07.01.2024/09:00;SE1, SE2, SE3, SE4;-8487,924
07.01.2024/10:00;SE1, SE2, SE3, SE4;-8593,403
07.01.2024/11:00;SE1, SE2, SE3, SE4;-8565,595
07.01.2024/12:00;SE1, SE2, SE3, SE4;-8461,449
07.01.2024/13:00;SE1, SE2, SE3, SE4;-8371,609
07.01.2024/14:00;SE1, SE2, SE3, SE4;-8353,191
07.01.2024/15:00;SE1, SE2, SE3, SE4;-8532,584
07.01.2024/16:00;SE1, SE2, SE3, SE4;-8954,641
07.01.2024/17:00;SE1, SE2, SE3, SE4;-9211,529
07.01.2024/18:00;SE1, SE2, SE3, SE4;-9181,657
07.01.2024/19:00;SE1, SE2, SE3, SE4;-9006,877
